,Customer Code,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
0,Customer1,Subscription,USA,SMB,Analytics Module,,182,182,182,182,182,182,182,182,182,182,"1,034","1,034","1,034","1,034","1,034",891,"1,001","1,001","1,001","1,001","1,001","1,001","1,001","1,001","1,001","1,001","1,001","1,090","1,090","1,103","1,090","1,090","1,090","1,091","1,091","1,678","1,106","1,084","1,070","1,070",833,873,897,825,816,816,833,861
1,Customer2,Subscription,USA,Enterprise,Platform,,"4,801","4,801","4,801","4,675","4,675","4,190","4,540","4,540","4,540","4,409","4,409","4,409","4,604","4,604","4,604","4,681","4,681","4,681","4,773","4,773","4,773","4,920","4,920","4,920","3,224","3,224","3,224","3,339","3,339","3,380","3,331","3,331","3,331","3,415","3,415","3,415","3,392","3,323","3,280","3,212","3,442","3,521","3,616","3,591","3,550","3,551","3,886","4,014"
2,Customer3,Subscription,USA,Enterprise,Platform,,310,310,310,310,310,377,377,377,377,377,67,67,67,67,67,67,67, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
3,Customer4,Subscription,Canada,Enterprise,Platform,,120,417,719,719,719,719,719,719,719,719,719,719,719,359,791,791,791,791,791,791,791,791,791,791,791,"1,542",751,751,751,751,751,751,751,751,751,751,751,834,834,834,834,834,834,834,834,834,834,834
4,Customer5,Subscription,USA,Enterprise,Platform,,"3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,235","3,198","3,198","3,198","3,198","3,513","3,513","3,513","3,513","7,556","4,043","4,043","4,043","4,043","4,043","4,043","4,043","4,043","4,043","4,043","4,043","4,860","4,860","4,860","5,302","5,302","5,302","5,302","5,302","6,399","6,399","6,400"
5,Customer6,Subscription,USA,Enterprise,Platform,,478,478,487,487,487,487,487,487,487,487,487,487,487,487,507,507,507,507,507,507,507,507,507,507,507,507,536,536,536,543,536,536,536,536,536,536,544,533,540,"1,572",539,564,580,602,595,596,608,628
6,Customer7,Subscription,USA,Enterprise,Platform,,"6,599","6,599","6,599","6,599","9,185","6,834","6,599","6,599","6,599","6,599","6,599","7,371","7,820","7,820","7,820","7,820","7,820","7,820","10,580","8,223","8,223","8,223","8,223","8,251","8,234","8,234","8,234","8,493","8,493","8,599","8,493","8,493","8,493","8,501","8,501","8,501","8,801","8,801","8,801","8,646","10,492","9,331","9,473","9,798","9,781","9,768","9,814","10,079"
7,Customer8,Subscription,USA,Enterprise,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
8,Customer9,Subscription,USA,Enterprise,Analytics Module,,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,753,766,766,766,766,766,766,766,766,766,766,766,775,848,848,848,849,849,849,861,843,833,"2,565",855,855,855,"2,565","1,710","1,710","1,710",256
9,Customer10,Subscription,USA,SMB,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"5,130"
